Wight,Jeor Mormont,Fire,Fire/Burning,Attacked Sam Tarly,Beyond the Wall,Unknown,No Second Allegiance,Background Extra
Manticore,Barristan Selmy,Knife,Blade,Attacked Daenerys Targaryen,Astapor,Unknown,No Second Allegiance,Background Extra
Hoster Tully,Unknown,Illness,Other,Natural causes,Riverrun,House Tully,No Second Allegiance,Minor Character
Bolton soldier,Ramsay Bolton,Arrow,Arrow,Attacked Theon Greyjoy when he tried to escape torture,Dreadfort,House Bolton,No Second Allegiance,Background Extra
Bolton soldier,Ramsay Bolton,Arrow,Arrow,Attacked Theon Greyjoy when he tried to escape torture,Dreadfort,House Bolton,No Second Allegiance,Background Extra
Bolton soldier,Ramsay Bolton,Arrow,Arrow,Attacked Theon Greyjoy when he tried to escape torture,Dreadfort,House Bolton,No Second Allegiance,Background Extra
Bolton soldier,Ramsay Bolton,Arrow,Arrow,Attacked Theon Greyjoy when he tried to escape torture,Dreadfort,House Bolton,No Second Allegiance,Background Extra
Bannen,Unknown,Broken foot,Other,Critically wounded at the Battle of the Fist of the First Men,Beyond the Wall,Night’s Watch,No Second Allegiance,Background Extra
Craster,Karl Tanner,Knife,Blade,Attacked Karl Tanner after he insulted Craster and demanded more food,Beyond the Wall,Night’s Watch,No Second Allegiance,Secondary Major
Jeor Mormont,Rast,Knife,Blade,Attacked in a mutiny,Beyond the Wall,Night’s Watch,House Mormont,Major Character
Astapor slaver,Unsullied,Spear,Polearm,Ordered to by Daenerys Targaryen during her sack of Astapor,Astapor,Good Masters,No Second Allegiance,Background Extra
Astapor slaver,Unsullied,Spear,Polearm,Ordered to by Daenerys Targaryen during her sack of Astapor,Astapor,Good Masters,No Second Allegiance,Background Extra
Kraznys mo Nakloz,Drogon,Dragonfire,Animal,Daenerys wanted to take the Unsullied army and to free Astapor’s slaves,Astapor,Good Masters,No Second Allegiance,Secondary Major
Astapor soldier,Unsullied,Spear,Polearm,Ordered by Daenerys Targaryen during her sack of Astapor,Astapor,Good Masters,No Second Allegiance,Background Extra
Astapor soldier,Unsullied,Spear,Polearm,Ordered by Daenerys Targaryen during her sack of Astapor,Astapor,Good Masters,No Second Allegiance,Background Extra
Astapor soldier,Unsullied,Spear,Polearm,Ordered by Daenerys Targaryen during her sack of Astapor,Astapor,Good Masters,No Second Allegiance,Background Extra
